序号,评论者,评分,内容,时间
1,ShowerP,力荐,看過才感受到美國版跟日本版的極大區別，除去整個情緒上的控制度，看過日本版才能理解為什麼阿八會用牠的餘生去等待主人，因為教授實在太愛牠了啊！教授對牠的那種愛和呵護是美國版完全沒有表現出來的，如果先看美國版會認為這是一隻神犬，跟主人之間的情感是冥冥中的，但日本版告訴我愛絕對是相互的。,2016-02-20 23:07:49
2,vanille,力荐,我等你是因为，再没有人像你对我那么好T T,2010-06-18 15:08:41
3,匡轶歌,力荐,喜欢教授那句话：人有人格，狗也有“狗格”。日本动物爱护管理中心主页上写着：1.无法继续豢养的动物，请不要丢弃（以前是免费，现在只需交付2000日元即可由保护中心收容接管）。2. 遗弃、虐待动物是犯罪。3. 遗弃动物者，处以50万日元以下罚款。4. 杀、伤动物者，处以一年以下刑拘或100万元以下罚款。,2012-07-12 22:15:32
4,Odile,力荐,"八公的""原味""还是在日版，教授去世后与之相关的人们对八公的薄凉，在它始一而终的热诚面前抬不起眼。 片尾的长镜头中，始终无人关照这位""人类的朋友""的死亡。似乎是一种讽刺，人弃忠友而去，却等待它们用生命为人类守灵。 除了教授，没人担得起这份守候。",2018-02-06 01:21:19
5,双喜,推荐,美版的才是忠诚，日版的看到是凄惨和无奈，无家可归，忍饥受冻，被人遗弃，追打，如果给他一个家，像教授一样爱它，它也不会这么凄惨，只能在车站那苦苦的等待那个唯一爱它的人。,2011-08-13 11:19:38
6,爱的镇魂歌,力荐,美版突出悲伤氛围的塑造，日版则显得更加真实。除了八公与主人外，日版更多地刻画了八公与其他一些人之间的种种。相比美版里大家都爱的八公，日版里的八公则是忠诚过头而遭到其他人厌烦像踢皮球一般推搡的对象，也因此更加真实感人。,2013-08-21 21:54:37
7,Super S hit,力荐,哭死我也,2009-01-24 05:51:41
8,洛洛的小甜甜,力荐,反复叮嘱家人：狗狗也有狗狗的权力，要保护狗狗权力的教授，台风天担心阿八着凉所以淋雨把阿八抱进屋取暖的教授。给阿八抓虱子还要整齐排列的强迫症教授。和阿八一起洗澡的教授，看到阿八在车站接自己，满足骄傲的教授。想到这么温柔的人一会儿就要死了，我的眼泪根本止不住。阿八啊，你久等了。,2018-02-01 12:00:10
9,起床，吃饭,力荐,我小时候家里养了一只纯种土狗，天天陪我爬山抓鱼刨沙坑。它死的时候我妈说我哭了一星期，打那以后，她发誓不再养狗。,2015-12-19 13:50:30
10,麻绳,推荐,这真不是一个温情感人的宠物故事。如果说美版电影是在歌颂狗的忠诚，这个“被嫌弃的小八的一生”的日本原版则是在控诉，一个多么冷漠的社会才会发生这样的故事啊。作为日本著名的左派导演和本片的编剧，新藤兼人的剧本不简单，一巴掌一巴掌地打在那些表面上温良恭俭实际上内心虚伪的日本人的脸上。最后一个长长的镜头，昭和十年的涩谷车站，八公终于在雪中死去，但过往的行人无人理会，一队日本兵列队走过平静的东京街头，代表爱与诚的八公死去，一个全民癫狂的血腥年代即将开始。,2018-12-21 10:17:27
11,天然呆,力荐,因为也喜欢小狗狗，所以这部电影让我很感动，爱与责任，一旦选择，终身负责,2017-03-20 15:07:41
12,李濛Lemon,力荐,比美版好，没有硬煽情，本以为会泪流成河但实际上情感很克制。讲述八公的悲剧之余，将生活的横切面静静地呈现。人世百态，人情冷暖，四季物哀，八公穿梭其中，倚靠关于教授的美好回忆，熬过了不断被遗弃和损害的一生，最终成为风雪中的一座丰碑。八公承载的是人们对教授的回忆，更承载了忠诚、善良与慈悲这些稀缺品质。影片表面温情，实际上编剧歌颂一群人，又讽刺了一群人，立场清清楚楚。P.S.字幕出现时才知道编剧竟然是新藤兼人大神。,2019-10-05 23:29:38
13,静@Einfühlung,推荐,一只狗对其生命最初的爱，又想起那句话“我们之所以痛苦是因为我们曾经幸福过”,2007-12-17 14:43:00
14,艾晨,力荐,美版主要表现狗之忠，日本原版主要表现人之善。前者欢快之中显煽情，后者温情之中酝感动。,2014-01-09 16:36:24
15,懒懒,力荐,原版真是比美国版好太多，更催泪和有寓意。女儿的自私和离开，让はち的陪伴与守候更让人唏嘘。教授对はち的感情也更细腻温暖。后来被人抛弃，更见证了人类的自私与冷漠。明明是抛弃，让はち去流浪，却将其美化成自由。默默的等候被调侃为傻和脏东西，被人扔石子，被人嫌弃，被其他流浪狗咬伤。最后はち落魄瘦弱的样子才是现实生活中会有的模样吧。你说，为什么要等一个永远不会回来的人呢？因为这个世界上只有你是爱我的了。。。,2020-11-06 06:21:45
