序号,评论者,评分,内容,时间
1,我对你的无语简直能沉默整个宇宙,力荐,这部电影的前十分钟就是我们的未来，旁友们。独居，失业，没有另一半，被年轻人嫌弃，想死死不成。,2016-08-27 09:46:43
2,ʏɪɪɪʀ,推荐,剧情其实特别套路，每一个步骤都似曾相识。欧维就像飞屋环游记中的卡尔，怀念着完美的故人的同时偏执和固执被邻居一点一点的磨平最终变亲近。淡淡的音乐伴随着平凡又不平凡的小人物的一生。最后一幕真的无法不想到泰坦尼克吧。,2016-07-14 00:53:43
3,根,力荐,巨人的花园，男主年轻时那副严谨又害羞的样子真是太迷人了。,2016-08-11 23:26:48
4,BLUE,力荐,越多白痴的声音议论她，我对她仅存的回忆就越少。,2016-08-01 23:20:34
5,饱肚师叔,力荐,笑了哭哭了笑。人老了真的很容易变得“讨人嫌”：我奶奶八十多岁有一次不小心滑倒骨折，之后她每天都在说，我为什么还不死，活着简直就在给大家添麻烦。那时候我回去看她，被她念得头疼。现在她九十好几，以为我还只有十五六岁，她好像记不太清年月，但有时候我又觉得，她其实什么都清楚。,2016-08-09 23:58:43
6,瑴,力荐,愛上一個人的感覺，就像突然有了軟肋也有了鎧甲。,2016-08-06 22:54:36
7,基努里维斯基,力荐,剧情饱满充实，温馨耐看。既不是小萝莉改变固执老爷爷的故事，也不是猫咪驯化老头的故事，也不是娘娘腔改变顽固大叔的故事。林林总总，潜移默化，心终于打开，这才是人性。,2016-08-27 14:14:31
8,甜水园子温,力荐,年度最佳预定，北欧特有的冷漠脸治愈系。最后那句“还是那时候好啊，人们至少愿意为自己的原则作斗争”的和解真是哭死我了…………,2016-08-02 16:25:10
9,赫恩曼尼,力荐,我们是选择死，还是努力活着？,2016-08-22 00:11:52
10,обломов,推荐,「可是我撞了一辆车」「有什么关系，那是沃尔沃」分享一个萨博控老丧比，一个被医生定性为「心真大」的铲屎官，一个未来的我,2016-07-28 21:10:25
11,19,力荐,在他的所有记忆中，她永远是年轻的模样。,2021-02-28 11:08:20
12,朱老板,力荐,家人，孩子，宠物，朋友，齐全了才能活下去。,2017-01-07 23:25:49
13,CharlesChou,推荐,内心深处觉得这是宜家广告该有的样子,2016-07-28 15:26:31
14,同志亦凡人中文站,还行,和“单身男子”完全一个套路，都是求死不得终得死的故事；可惜鸡精放太多了，整块都在锅里没化掉。没有了伯格曼的瑞典电影全是宜家味道，连调色都一模一样...,2016-09-03 05:44:05
15,纽伦堡富贵竹,力荐,相信那只布偶是索尼娅,2020-12-29 23:15:45
