序号,评论者,评分,内容,时间
1,伊豆,推荐,当时很不能接受的是，许仙竟然和小青有暧昧。不过长大之后再回想，男人，可不就是这样的么。,2008-10-14 11:25:26
2,Ridden,力荐,如果有六颗心我就打六星，如果有十颗星我就打十星，别问我为什么！,2007-08-25 03:16:07
3,光年‖影视歌三栖民工,推荐,作为一个性格被阉割的男人，青蛇那一剑捅得好！,2008-10-31 23:54:10
4,眠去,力荐,姐姐，你为了一个许仙放弃千年道行，值得吗。,2007-03-03 12:30:05
5,囍夭夭,力荐,每个女人，也希望她生命中有两个男人：许仙和法海。是的，法海是用尽千方百计博他偶一欢心的金漆神像，生世位候他稍假词色，仰之弥高；许仙是依依挽手，细细画眉的美少年，给你讲最好听的话语来熨帖心灵。,2007-07-18 12:27:03
6,missfaye,力荐,真正觉得不辜负原著的一个电影,2005-12-13 23:13:39
7,诸葛若见,力荐,人生如此，浮生如斯。小时候看到的是群妖乱舞，大点看到的是情欲纠葛，昨天再看的时候是悲悲戚戚。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,2011-11-27 14:25:31
8,罗弘霉素,力荐,李碧华的爱情模式，得而失才让情更刻骨，碎彻底才让痛更铭心。青蛇与法海交欢的戏藏得够深，很有佛理。,2012-08-11 14:49:38
9,布宜諾斯,推荐,赵文卓太帅了太帅了！！！！！,2010-08-16 08:54:53
10,老鸡｜扶立,还行,扭啊扭……扭啊扭……,2008-01-10 17:21:34
11,文泽尔,推荐,徐老怪拍的最美的一部片子，连法海都是赵文卓，有这样的白蛇传么..,2007-09-26 20:42:50
12,2013,还行,红玫瑰与白玫瑰——青蛇与白蛇——许仙与法海。诱惑的两面。,2006-09-11 15:59:06
13,白色微风,推荐,哼，我一眼就看出你不是人。大胆妖孽！我要你原形毕露👎🙌[保佑]，大威天龙🤟般若诸佛👌世尊地藏[响指]般若巴麻空，现行🤘，大胆亵渎我佛✌️杀👆杀🖕杀👇杀☝️雕虫小技，竟敢班门弄斧，大威天龙🤘，大罗法咒🤙，般若诸佛🖖，般若巴麻空🤞，移山🤸‍♂️🤸‍♀️飞升🏄‍♀️🏂。哼，这样的法术还死撑，🤲🙌收了你们，袈裟[保佑]。不知天高地厚，还在那🧘‍♂️[保佑]，根本没把我放在眼里🧘‍♂️。飞龙在天🐉，去🏄‍♂️。,2020-05-21 01:06:30
14,范小奚,推荐,两人的“扭啊扭”到现在我都还记得。,2008-07-22 12:12:48
15,寂地,力荐,"也是非常喜欢的,第一是两个女人太美丽了.第二是,音乐太棒了",2006-01-01 15:29:38
