序号,评论者,评分,内容,时间
1,Ex,还行,如果影片可以不那么拖沓.我会把它列为四星.结尾很感人.中间有很多情节可以砍掉.,2006-07-23 14:47:48
2,P,推荐,ray……听上去很像rain，愚顿的哥哥曾经对心爱的弟弟说，我是rain man。直到生命进行到成人的阶段，弟弟才突然想起，童年时，他的生活中曾经有一个爱他疼他的雨人……,2006-06-12 10:03:02
3,Q。,推荐,年轻帅气的阿汤哥，让人眼前一亮的霍夫曼。故事简简单单，配乐大气，并没有特别煽情的段落，不刻意讨好，不哗众取宠，让人看起来十分舒服，让人感动在不知不觉中。★★★☆,2011-07-08 23:18:39
4,股神看不懂,推荐,剧情真的好赞的，没想到自己一直寻找的人就是自己最亲的人，查理从一开始的不接受到后来的分不开，也让人看见了他的成长，哥哥最后没有跟他走，却能得到更好的照顾。有的人觉得结局不好，但我觉得这就是最好的结局。,2016-11-06 16:42:16
5,走马,推荐,任性是缺点，坚持任性就是自闭症，我不过是病的稍微重一点儿而已，就已经很难被世界容忍了,2012-12-14 23:56:24
6,眠去,未评分,是，我知道你并不健全，但那人格魅力并不消减。,2007-08-26 13:25:05
7,[己注销],推荐,（9/10）现在的电影大会基本上都被特效大片和言情吻戏给占领了，其他类型的片子很少有拿大奖赢票房的机会，可在80年代，却是这样一部纯粹的讲述人与人情感的作品拿下奥斯卡，没有火爆打斗和赚眼球的福利。片中在拉斯维加斯赌钱的那几分钟剧情启发了王晶，于是就有了《赌神》这部经典作。,2013-10-01 00:07:42
8,私享史,推荐,本片和几年后的《费城》一样，通过故事向公众“科普”当时尚不为公众所了解或正确了解的病症，其社会意义远大过电影本身。拿国内同样自闭症题材的《海洋天堂》来比较，则本片很巧妙地展现了AS/HFA的各种症状，而《海洋天堂》却并没能把ASD的主要症状传达给观众，纯粹沦为了道具。Sony Watchman第一次见,2014-01-30 01:04:53
9,赱馬觀♣,推荐,旧影回眸，妥妥的减半颗。情节略显程式化姑且不论，相似题材被港影龙的心抢先三年也暂且不表，关键是中间那段公路戏实在太拖了！雨人早早就表现了过目不忘数学天才，报出女侍者电话和416根牙签，结果演了大半天弟弟好像第一次才通过记歌名发现于是计上心来？拜托，直奔赌场从观众心理预期上算，是至少半个小时之前就该发生的故事。此片撑到七分完全归功于达斯汀霍夫曼的表演和靓汤在某些时段的风采。但也有评论认为，“霍夫曼的表演是一种炫技过度，缺乏与情绪之间的持续关联，它只是依靠演员不间断的精湛表演去影响观众，而不是通过特别强烈的戏剧意图。”,2010-12-31 08:28:30
10,刘康康,推荐,这片子应该与《逍遥骑士》做个对照来看。同样是两个男性，同样是一次横跨美国的漫长旅行。逍遥骑士最后死了，而他们则再次确证了亲情、家庭的价值，一种美国家庭在60年代和70年代的分裂敌视状态，在80年代被弥合并巩固了。同样的弥合主题出现在另外两部80年代的电影中，金色池塘和为戴茜小姐开车。,2011-08-23 23:15:47
11,Zephyrance,还行,不是我的菜,2008-12-11 01:31:13
12,暖鱼,还行,公路电影差不多，讲智障人士没有I am sam讲得好，写情感又缺少细腻。,2008-05-04 22:21:18
13,火娃,还行,7/10。过誉之作，情绪平淡，关于亲情回归的题材屡见不鲜，何况本片还只是个简单的公路片框架，最重要的是欠缺了很多小趣味和动情点，通篇光剩话唠咆哮。靓汤最终改变初衷的转折设计有点怪，并非一路患难与共建立的家人团结，而是“雨人”身份的揭晓加之帮在赌场赢钱还债产生的感恩之情。配乐印象独特。,2014-04-12 18:52:57
14,孔小洞,力荐,我可不可以把它看成一部公路片，某种程度。,2010-04-19 20:52:26
15,哪吒男,推荐,基本上是“从前慢”和“都要快”两种新旧人格的冲突，新败了，但赢得更多。导演、达斯汀霍夫曼、汉斯季莫都把煽情的部分小心翼翼地捂着，克制而有保留，真！高！级！,2016-05-25 00:06:55
