序号,评论者,评分,内容,时间
1,燕爷,力荐,天使也怕黑暗。,2011-01-22 13:21:28
2,林||我们谈什么都像谈死！,推荐,“我累了，不想活了，真的，我不想再像孤雁一样，我不想再过没有朋友的日子，我希望有人能告诉我该何去何从，我不想再看到丑陋的人性，我不想在每日承担全世界的痛苦。”讲的是耶稣么？十字架变成了电椅。,2009-01-08 21:09:57
3,Eve|Classified,还行,看完第一遍不想再看第二遍。,2008-08-23 18:04:42
4,晨光荣耀,力荐,耶稣小传,2009-01-09 14:27:21
5,蛋蛋,力荐,带着满脸的眼泪和鼻涕泡儿看完的,2008-05-30 13:17:04
6,鱼丸粗面,推荐,片子缺少一种关键的非现实渲染，让人感觉离奇得难以接受，但是仍然是一部好片子,2007-03-14 11:34:04
7,Beryl,力荐,能把悬疑拍的好看我觉得有难度，虽然接近200分钟时长，但却不觉得冗长，值得回味的电影。,2017-03-13 18:28:17
8,阿吉娃娃,推荐,"故事性很强的传奇宗教寓言式电影。神爱世人，而世人却不理解这份爱。人类摧毁了神迹，而神却不忍让世人背负这罪名。1.【you can't hide whate's in your heart】2.【What happens in the Mile, always stays in the Mile. 】3.【If don't help,don't tell him.Ever.】4.【awful tired life.Dog-tired】",2012-08-19 13:52:38
9,🦔lp99,力荐,虽然很长，但真的好看,2017-03-13 18:15:28
10,醪糟鸭,力荐,"“我不想再像孤鸟一样单飞，我不想再过没有朋友的日子，我希望有人能告诉我该何去何从，我不想再看到人间的尔虞我诈，我不想每日再承担全世界的痛苦。世上的痛苦实在太多，像碎玻璃般无时无刻地刺痛我的脑袋。”
John就是坠落人间的天使，是绿里奇迹。他庞大的身躯给人十足的压迫感，他可以未卜先知，他可以去除疾病邪祟，就是这样一个身材魁梧，无所不能的人，也惧怕黑暗，会为了生命哭泣，他会捧起落叶，感受生命的芬芳和自然的力量，他也会向往自由的生活，笑得像个纯真的孩子。地狱空荡荡，魔鬼在人间，天使满心期待来到人间，触目皆是疮痍，遍体鳞伤地离去，却洒落滚烫星河，救赎着罪恶。",2021-06-02 00:23:24
11,火娃,力荐,9.0/10。1、魔幻现实主义的震撼力作！很幼稚，但电影院后两段还是忍不住失声了，三小时的监狱题材浑然不觉乏味。2、绿里奇迹：治尿道炎、复活老鼠、治脑癌、严惩杀童犯和配西...3、痛苦的死刑却一脉相承着《肖申克》的希望与救赎，“绿里”中的人们以不同以往的形式实现了各自生命的意义。,2013-09-14 12:42:00
12,kingfish,未评分,"就是说,Tom Hanks 演的电影,都要看一看.",2006-03-23 09:10:35
13,顗礼,力荐,最动人其实就是最后的那场电影，经历人间百态后痛苦无比的神之子却为“电影”本身所动容，这大概才是最大的“神迹”,2019-10-09 18:49:15
14,朝暮雪,推荐,汤姆·汉克斯版《肖申克的救赎》。,2012-11-02 23:10:43
15,莱尼圆,力荐,披着奇幻外衣讲述善恶有果的故事，或许在斯蒂芬金的奇思妙想中，拥有异能、惩恶扬善、害怕黑暗的约翰咖啡，就是所谓的耶稣，借其上帝视角来表达对人间疾苦的博爱之心。影片的情绪从最初未知的恐惧神秘到最后潸然泪下的感天动地。死刑犯的绿色里程，直白的死亡恐惧中感受生命的力量，三段电刑过程越发地触目惊心。渡人也是渡己，尽其所能施善于人。影片虽长但节奏很棒，戏份颇多的小老鼠先生尤其让人难忘,2010-01-16 02:27:34
