序号,评论者,评分,内容,时间
1,不靠谱小姐,力荐,我以为如此智慧的一个人，在那几声枪响过后，必定是会走出来，继续对他的公主说早安的...,2010-08-17 11:39:02
2,monotonous,推荐,人生，就是喜剧，就是一场1000分的游戏。千万别哭，不然那个迈着正步去赴死的犹太人会笑话你的。,2007-12-21 16:05:17
3,老鸡｜扶立,力荐,如果谎言可以这样美丽，我也情愿生活在谎言之中,2008-01-10 16:54:36
4,寄意寒星,力荐,或许这是我看过的最伟大的喜剧。,2007-03-10 00:04:40
5,UrthónaD'Mors,力荐,"喜剧的开始，悲剧的结束，
满满的亲情，无限的父爱",2008-01-27 23:20:12
6,海上明月,力荐,绝对难忘的一部片子----影片结尾美国大兵的那句 hei! boy! 叫人已经凉透了的心又感到了温暖。,2007-09-03 15:23:38
7,林愈静,推荐,看了这个不要看《辛德勒名单》或者看了《辛德勒名单》不要看这个。时间：2005,2006-04-21 21:04:23
8,寂地,力荐,"即使是悲惨世界,也要大大的笑着.",2006-01-05 00:14:15
9,文泽尔,力荐,父爱构筑了一场温馨的战争，没有在孩子心里留下任何阴影。故事分裂成两部分，前半是圭多对公主的追逐，用智慧战胜了强大的求婚者，抱得美人归；后半是战争风雨飘摇时对亲情的忠诚，在迈开大正步赴死，努力保护孩子时，父爱如山，界已成神.,2007-11-20 17:09:28
10,Q。,推荐,这是父亲所作的牺牲，这是父亲赐我的恩典。★★★★☆,2010-06-15 18:31:59
11,momo,力荐,不敢相信男主死了，总以为他能活过来,2016-09-10 21:31:11
12,叶子窝,推荐,前后如同两部电影。前一半有多欢脱，后一半就有多苍凉。我特别在意那位执着与于猜谜的军官，善与恶，竟然最终抵不过一道谜题，这也是一种人生的况味吧。,2017-01-04 12:26:53
13,亲爱的我呀,力荐,很久以前看过的，永远难忘片中父亲的鬼脸,2007-09-05 13:08:50
14,ᥫ᭡້໌,力荐,三刷了。记得上学时跟父母吵过，中国的父母经常想让小孩相信这世界的丑陋，而国外的父母即便身在地狱也要让孩子相信在天堂，让他们开心的活着，你们为什么要让我的童年的这么痛苦。哈哈，大概就是受这剧影响吧。,2017-02-08 13:44:54
15,朝暮雪,力荐,"铁门坠落的钥匙叩开玫瑰庄园
却解不开种族烙铁的炙痕
白驹驮着新娘奔向自由疆界
却冲不破铁丝网编织的牢笼

他用幽默的盾牌抵挡现实的箭矢
以父爱为密码破译战争的密电
一块奶油蛋糕跨越种族隔阂
红地毯丈量着从阶级到真心的距离

留声机转动希望的波长
管风琴震碎绝望的玻璃
用童话语法重构集中营的夜晚
让坦克游戏消解毒气室的阴影

“早安我的公主”融化铁幕寒冬
“我们正在夺冠”点燃废墟星辰
在谎言的土壤播种真相之花
将枪炮声谱成睡前童谣

他弯腰成为儿子的温暖坐骑
昂首化作妻子的永恒骑士
当黑暗吞噬所有光亮
他用瞳孔折射太阳

这不是集中营的编号囚徒
是穿着条纹睡衣的造梦先知
用微笑拆除地狱栅栏
以心跳奏响自由乐章",2012-08-07 15:40:11
