序号,评论者,评分,内容,时间
1,Kévin,推荐,外国人一定觉得中国人长得都差不多。,2011-06-27 22:23:48
2,影志,推荐,那一霎那我什么也没做，只是捅了你一刀。“原来你跟他们一样，对我好就是想改变我。你好可笑啊，你以为你是谁啊？我和这个世界一样是不可改变的…”,2009-04-18 21:34:49
3,亚比煞,力荐,很多电影里都会杀人。只有在杨德昌的电影里，那不是杀人，那是整个世界的崩毁。他要你眼睁睁的看着，他用两个多小时创造的世界，在少年捅下去的那一刀里，灰飞烟灭。,2011-09-25 10:46:40
4,袁牧,力荐,弱者送给弱者的一刀,2010-07-16 19:04:19
5,小耳朵图吗,还行,"4个小时的片,中途睡着了",2007-08-21 06:48:16
6,黑胖砸儿,力荐,海那边六十年代的生活跟海这边八、九十年代差不太多，但tmd海南边的学生凭什么人手一双converse？凭tm什么？,2009-10-07 21:24:23
7,陆钓雪de飘飘,力荐,我在台南，无聊的要命，每天可以看几十本武侠小说。后来，我叫他们去帮我租最厚的小说来看。其实以前的人，跟我们现在出来混的人，真的很像。《战争与和平》，其他的武侠书名都不记得了，只记得这一本。妈的，我还真想写本小说咧，干，给以后像我这种人看。太晚了，书又读的不够多。,2016-09-05 01:27:06
8,观三生,较差,1.黑乎乎的啥也没看清，不知道谁把谁砍了，后面完全靠自己的推断 2.真的有必要拍那么长么，除了几个亮点，其他的完全可以缩减  3.剧情推进太慢，不要想着同时讲那么多件事4.小四打灯泡那里的镜头运用，不喜欢 5.不明所以的被奉为神作 6.这部电影打断了我顺着豆瓣TOP250看完的欲望,2013-06-17 17:35:32
9,私享史,推荐,如果小四最后听从姐姐而去了教堂，也许结局不是那么悲怆……,2005-10-07 00:53:12
10,仿真男孩哪吒,力荐,片子长 长到以为杀人的是自己 被捅的也是自己,2013-10-02 09:29:22
11,小岩菽,力荐,四小时冒油。五十年代台北群像。十四岁的张震。发力的杨德昌。成长编年史。黑暗中闪光。再回首，青春的轨迹依然明晰到深深嵌入地表，但那种鲜明和深刻是根本由不得人再走一遍。每一个时代都有各自的悲哀和伟大，卑微的人弯着脊背，聆听风雷，勇敢而纯洁的人拿身体和理想叩问苍天，从内部上升或陨落。,2010-01-26 23:36:13
12,57,力荐,这不是我的青春，也不觉得这是青春片，刀上是他的父辈、整个台湾、近代日本和中国的债务。依然惊叹于杨德昌的解释力，他对于一桩犯罪的理解程度，可以达到史诗的厚度。有些电影就是希望它长一点再长一点，它替代并超过了你的人生。在改变世界的赤子之心被杀死之后，现代社会开始了。最爱的导演。,2015-02-19 22:54:08
13,西楼尘,推荐,当某一个夏日你伸出手想去拥抱她的时候，结果只抱住了风，青春就这样散场。白衫黑裙的少女笑靥如花，却无声无息地倒下，校服沾染了一个时代的迷惘惆怅。曲终人散，那些年少曾路过的台球桌、小公园、棒球场，会否记得外文的歌、懵懂的吻，还有无所事事的下午我们许过的诺。终于你改变不了的，才叫人生。,2016-03-28 18:44:02
14,欢乐分裂,力荐,"从那一刻起，我爱上所有类似张震的男子。舞台主角光环之外有多少灵魂在挣扎，在无声剧烈地抗争——而结局也是一样，无论是以鲜血献祭，还是奉上心灵和精神的朝拜与托付，这些在黑暗中跋涉的年轻人们，都会走到无法挣脱的泥淖中去。
手电筒是再明显不过的象征，小小的光源穿透黑暗的粘稠，照向头顶上方的星空，照向脚下未明的路；小四时刻携带在身边的手电筒，在替换为匕首之后，就是努力寻求光明的失败，理想星群陨灭。
夜校回家路上驶过的坦克，夜半敲门的审讯，大陆“前史”笼罩的阴影，无法更改的乡音，日殖时期的痕迹，美国文化的渗入，具有折射意义的地盘划分和群体站队；杨德昌在群像方面的力刻工笔细描，巨细靡遗，具有绝对冷静的审视和剖析。何止是“青春残酷物语”，是人世苍凉的凝缩，是历史幽灵的无处不在，是我们向往而无法不被摧毁的世界。",2006-05-26 19:04:39
15,拐子流星锤,力荐,太讲究了，红楼梦式的电影，巨细无遗，每一个人每一个细节都照顾到了，真是天才,2016-05-01 17:10:13
