序号,评论者,评分,内容,时间
1,个篱,力荐,那对对死无所畏惧的老夫妇，那个不为外界干扰的乐队，那个为生而做一次假父亲的男人，那个为爱人吹响口哨的女人。都是为了一种心灵上的执着。,2006-11-16 15:23:40
2,影志,力荐,"“我甚至连一张他的画像都没有，但他永远活在我心中。” 要敢说，这是我一直深爱的电影。

3D效果言过其实；被删裸戏无察觉；IMAX看清冰山全貌；Rose美的神魂颠倒，Jack帅的令人窒息；甲板上Jack对Rose说:I see you. 看过不下10遍，能记住每个情节、台词、人物及配乐，该哭地方还是会哭；3碟正版VCD能记住两次换碟的准确时刻；初二看完后自己经常在水盆里用水瓢演习沉船全过程…",2006-02-04 06:19:25
3,沉歌,推荐,爱你原本只是一瞬，却不知在时间的洪流中成了永恒。,2007-10-14 15:40:11
4,Doublebitch,力荐,将永远是我在电影院所看过次数最多、最感动、也是最好的电影,2008-11-24 22:15:43
5,高歌,力荐,"生死两茫茫
不思量
自难忘",2008-08-02 01:45:37
6,峰峰峰峰,推荐,当老年的Rose午夜梦回，一个长镜头穿过大堂，摇上楼梯，站在钟表前的Jack转过身来，意气风发，潇洒倜傥，宛如昨日。,2012-08-25 07:37:00
7,芦哲峰,推荐,1998年，哈尔滨火车站地下给初恋女友买的盗版光盘。,2008-03-15 22:17:43
8,孔雀鱼,力荐,学校组织放映的影片，大家好像对rose和jack恋爱过程猎奇，但是让我感动的一幕是轮船将要沉沦，海上乐队的绅士们整理领结，肃穆庄严的弹奏最后一曲，那一瞬间，仿佛听见一首镇魂曲在响彻。,2016-12-02 12:36:33
9,桃溪春野,力荐,我学会了吐口水，我努力的活下来了，我去了好多你说过的地方，我学会了双腿张开骑马，我生了好多孩子，我已经活到一百岁了，我可以见到你了吗？,2022-08-27 23:06:40
10,游牧人,还行,剧本居然收入人民教育出版社教材，可想而知对我国的巨大影响力。,2010-05-08 23:02:14
11,宋阿慕,力荐,一部应该被记住的电影.,2008-02-20 11:41:14
12,焚紙樓,还行,當船體即將一裂為二的前夕，全船的電燈極其巧合似的停滯了，如失血前的暈眩、如窒息前的睜瞳，讓人驚覺這艘船原來是活著的──全片194分鐘，唯獨這幾秒，鐵達尼號才真正顯現出它原該是主人公的存在之感，而非羅密歐茱麗葉情話綿綿的打卡佈景而矣。,2017-04-17 01:40:38
13,白日梦小姐,力荐,我想失去的才是永恒的。,2007-12-19 09:05:36
14,琦殿,力荐,有些片子，必须得等经历过再去看。没有为爱情放弃过什么的人，不会在露丝从救生船上跳回大船的那一刻落泪。,2011-08-26 16:50:18
15,小耳朵图吗,力荐,还用说么？太经典了。,2006-08-21 21:25:29
