序号,评论者,评分,内容,时间
1,今天小熊不吃糖,力荐,羡慕珍妮，不管她多么叛逆、落魄、堕落，永远有阿甘在等她回来,2008-08-12 06:12:09
2,影志,力荐,妈妈说，生活就像一盒巧克力……请不要再续下一句，耳朵听的起了茧子。,2006-02-13 02:13:17
3,林愈静,力荐,每年看一遍，每年哭一遍，看看自己幸福还是阿甘幸福！时间：从2003开始每年一遍,2006-04-21 21:00:17
4,娜莉梦游仙境,力荐,傻人有傻福，实际上并不是这样的。在我看来，阿甘的妈妈才是最伟大的人。很多普通人把低智商的孩子早早就放弃了，不让上学，不与别人接触，也许是为了保护自己的孩子，但是这样以后孩子就等于废了……,2016-12-09 22:25:37
5,大头绿豆,力荐,阿甘奔跑的意象，应该留在了很多人心里。,2005-09-11 14:13:53
6,荞麦,力荐,重新再看一遍，觉得奥斯卡当年颁给《阿甘正传》而不是《肖申克的救赎》，还是对的……更广阔，经得起各种解读，每个人都能找到自己的点。,2012-07-01 16:07:52
7,海心,力荐,you are my girl.,2008-01-08 16:46:09
8,xjxiidjsns,力荐,Mama always said life was like a box of chocolates. You never know what you're gonna get.,2008-06-24 18:49:25
9,乔西,力荐,我生命里最温暖的一部电影,2009-09-05 03:18:08
10,雨果,力荐,"这是一部美国典型的反智题材电影。聪明的人未必一定能成功。阿甘的智商极低，却情商极高。他一直怀着单纯的心，做了在别人眼里了不起的事，也尽力照顾身边的人。
成功充满必然与偶然。
人生就像是一盒巧克力。
最经典的两句台词",2016-11-20 19:08:09
11,黛西,未评分,"电影开篇,就告诉了人生的真实意义，就是羽毛,你无法决定和选择将要遇到什么,只能随风摇曳,在空中尽情的舒展美好!",2005-10-08 16:38:11
12,陈毓秀,力荐,这部电影的主题是：“保守主义始终代表美国先进生产力的发展要求，始终代表美国先进文化的前进方向，始终代表美国最广大人民的根本利益。”,2013-09-21 21:59:36
13,眠去,力荐,人生就像一盒巧克力，你不知道会选中哪一颗。,2007-02-10 10:55:49
14,办公室甜心,力荐,"十年前看过一遍，那时还是一个小屁孩，就像Forrest的妈妈说的一样，生活就像一盒巧克力，十年前的我绝对不会预料得到现在我会成为一个这样的大男生。Forrest Gump真是把""蠢萌""这两个字发挥到极致，我的意思是，蠢萌，其实也是上帝给予的天赋。",2011-12-14 23:03:55
15,同志亦凡人中文站,力荐,我一直记得那根羽毛,2012-01-14 15:28:23
