序号,评论者,评分,内容,时间
1,思阳,力荐,这部片子有三个特征：1）看不懂 2）无数的符号 3）必须熟读尼采 4）六十年代能够做出这样的特效真的是惊天动地,2008-02-29 14:05:22
2,地富反坏右,力荐,"首先你得忍者看完第一遍,觉得不知道在说什么;看了第二遍,觉得好像有点意思;看第三遍,知道原来这个电影讲述的是多个主题啊,看第四遍,觉得好像看懂了点什么;看了第五遍,啊,真他妈太牛了!这可是1968年的东西!",2008-07-14 10:28:08
3,袁牧,力荐,这不是照着剧本拍的，而是曲谱,2009-12-19 22:34:59
4,熊阿姨,未评分,反复睡着影响了我对此片逻辑的梳理和判断……,2016-12-19 01:08:35
5,Kuba,力荐,这部是唯一一出让我彻底游离出剧情，却始终带着浓厚兴趣看完的电影，我相信库布里克偏执的工作态度操死了一批又一批特效制作人员,2009-12-21 01:30:50
6,充蜜,力荐,那奄奄一息的机械生命执意要为我唱一首雏菊，有那么几秒温柔得不像话。,2008-12-27 18:20:35
7,彦夕,推荐,原作作者克拉克：“如果有人觉得完全弄懂了《太空漫游2001》在讲些什么，那一定是我和库布里克弄错了。”,2007-12-08 09:59:04
8,影志,力荐,李安评价自己最爱5部电影之一时说： “我非常崇拜库布里克，关于《2001太空漫游》我无法说清它究竟是一部怎样的电影，我当年第一次看这部影片时，它深深地吸引了我，那种感觉就像吃了迷幻药之后的幻觉经历。” 今天在资料馆大银幕体验，修复版让这种幻觉变本加厉，渗入到每一根神经。,2013-11-09 20:54:27
9,桃桃林林,力荐,对我，这是恐怖片，源自童年对星空的恐惧，关于人类的渺小。,2006-09-12 14:12:47
10,根,力荐,如果能在1968年看到这种电影，那游也要游到美国了吧,2017-05-10 23:11:40
11,同志亦凡人中文站,力荐,牺牲了部分叙事节奏，但构筑起来的完整世界让人目瞪口呆。我觉得我要暴走了：这怎么可能是1968年的电影！！！这怎么可能是1968年的电影！！！它反科学反伦理啊！！！,2014-11-10 12:32:17
12,安蓝·怪伯爵𓆝𓆟𓆜,还行,神不神的不知道，以后这种跳出三界外不在五行中，只能靠榨取困意尿意转移到大脑里的意念去理解的所谓经典，再也不好奇了。猜到结尾必有回归母体表达无止境轮回的画面，所以看到的时候并没惊喜，光顾心疼我仅有的视力和本来敏锐的听力了。EVA部分不错。但没看明白之前三星到头了跟风吹牛逼我拒绝,2016-12-03 21:00:33
13,NullPointer,力荐,这次看2001，库布里克穿越式的想像力提醒我，50年过去，人类技术并无本质上的进步：太空旅行和人工智能依然是前沿——而我们在这个前沿已经蹉跎了那么久。,2014-09-19 23:44:45
14,Arch-Murder,力荐,相当牛逼。又闷又飞。颜色很怪也异常美。65分钟时钢铁怪兽一般的喘息令人不安、惶恐，几乎要把自己的呼吸频率调整至与其同步。。96分钟时电脑杀人的戏冷静、残忍，让我简直有点无法承受。而在120-125分钟时，长达5分钟的高潮光效极其飞！！而最后的星孩令人恐惧！68年的迷幻范儿，巨屌！,2009-12-15 04:18:34
15,艾小柯,力荐,最伟大导演的最伟大影片,2006-06-23 00:44:59
